N=10，standard fft,运行时间为0.00016250000044237822s
N=10，direct dft,运行时间为0.1653121999988798s
N=10，dit fft,运行时间为0.00929710001219064s
N=10，dif fft,运行时间为0.014716499994392507s
N=11，standard fft,运行时间为8.820000221021473e-05s
N=11，direct dft,运行时间为0.6933854000089923s
N=11，dit fft,运行时间为0.016064699986600317s
N=11，dif fft,运行时间为0.03093530000478495s
N=12，standard fft,运行时间为0.00013949999993201345s
N=12，direct dft,运行时间为2.32417649999843s
N=12，dit fft,运行时间为0.04687510000076145s
N=12，dif fft,运行时间为0.06958590001158882s
N=13，standard fft,运行时间为0.00032210000790655613s
N=13，direct dft,运行时间为9.085251700002118s
N=13，dit fft,运行时间为0.09147259999008384s
N=13，dif fft,运行时间为0.11747299999115057s
N=14，standard fft,运行时间为0.0004988000000594184s
N=14，direct dft,运行时间为36.87646849999146s
N=14，dit fft,运行时间为0.15186399999947753s
N=14，dif fft,运行时间为0.22458340000594035s
N=15，standard fft,运行时间为0.0009898999996948987s
N=15，direct dft,运行时间为212.5897488000046s
N=15，dit fft,运行时间为0.3850438999943435s
N=15，dif fft,运行时间为0.4868094999983441s
N=16，standard fft,运行时间为0.0036914000083925202s
N=16，direct dft,运行时间为880.8838440000109s
N=16，dit fft,运行时间为0.7864888999902178s
N=16，dif fft,运行时间为1.006117400000221s
